148	540	7	12.52
1417	138	6	14.85
105	802	17	10.74
12	3304	7	7.11
1549	145	4	9.95
143	206	18	19.01
118	116	230	10.11
101	880	22	8.26
3391	103	5	6.7
699	1367	3	19.99
102	1621	11	14.87
102	1681	11	11.58
2176	108	8	13.6
7	114	1179	129.8
132	153	31	7.19
106	514	23	11.78
340	108	27	8.08
6989	106	3	7.7
340	161	8	13.29
106	565	19	7.05
7	225	83	7.83
107	3855	6	16.69
120	2124	6	12.85
348	247	5	12.08
7	284	84	95.55
183	1072	3	7.71
106	462	24	10.66
103	6785	3	6.8
169	275	9	15.64
423	111	20	12.83
278	166	41	223.29
242	951	3	10.01
778	208	3	7.44
7862	104	3	6.96
8	5	66	33.64
1339	115	9	11.78
4290	102	4	7.55
152	8	54	7.41
298	901	3	11.64
507	179	4	7.17
131	4372	3	9.81
104	361	34	13.02
350	217	4	6.83
110	6392	3	8.86
265	474	3	6.8
1352	117	8	10.29
104	479	25	9.6
350	120	17	9.05
253	844	7	36.81
1701	179	3	10.61
1504	7	15	16.98
711	163	4	7.98
386	146	7	6.76
440	132	11	13.21
637	201	7	24.78
121	2725	7	24.98
117	6658	3	11.62
914	133	6	8.7
533	102	24	7.25
1234	12	17	11.39
169	1601	3	9.01
637	154	6	10.98
257	115	34	19.64
6777	104	3	6.96
12	739	29	22.56
105	5330	3	6.8
539	373	3	9.66
125	290	18	13.61
257	226	5	7.16
779	217	3	7.96
524	4043	4	39.56
788	126	8	11.33
2350	142	3	7.35
156	109	87	9.44
678	102	21	9.32
106	6204	3	7.7
2072	5	4	15.62
230	541	3	6.65
437	105	25	7.44
5844	166	4	32.03
2108	8	6	15.15
1533	7	14	15.85
1317	227	3	11.51
190	273	7	11.58
120	2569	4	6.79
190	332	7	14.63
463	620	3	12.02
7	3791	6	6.79
162	440	5	7.08
410	277	8	31.82
108	4231	4	6.8
127	3152	5	18.66
454	349	4	13.52
108	4283	4	6.8
117	4931	3	7.43
103	3325	6	8.63
6510	103	3	6.8
1500	106	9	6.8
1416	101	15	8.61
212	103	60	12.01
126	880	8	13.04
2	151	52	9.94
123	2077	4	8.94
183	1740	3	10.61
186	378	35	219.74
227	2053	4	21.3
111	423	20	12.83
7	1380	14	7.15
5	3150	4	19.36
171	756	5	12.86
4796	103	4	9.06
107	3032	5	6.67
3229	129	3	7.09
341	118	19	11.94
148	1383	4	9.86
247	2951	3	18.16
5278	253	3	24
1785	644	3	21.1
2391	101	9	8.48
6648	103	3	6.8
322	585	3	9.68
1240	585	3	19.24
1054	108	13	13.14
7302	106	3	7.7
177	515	4	6.78
2158	526	3	20.73
831	112	21	48.28
1190	141	5	9.38
102	740	21	11.88
121	125	126	8.1
172	110	90	46.57
