106	1024	2
102	7136	29
123	6745	14
168	5904	34
13213	6318	14
4094	9752	14
3032	6659	21
10541	9240	41
5035	1925	6
228	4688	23
115	9895	16
210	1298	13
105	2959	3
14	1624	40
7	7530	6
385	1656	11
274	1442	17
7091	9592	8
14	852	36
118	407	10
28467	5181	20
14	1314	26
641	6084	8
101	8142	6
107	2485	17
5087	1005	7
4417	2353	10
7	7656	16
12	6815	5
33003	1246	15
1065	8139	19
29294	6104	9
127	4690	20
512	8696	9
113	9348	1
12	8430	8
3334	5920	1
7	2966	15
111	1951	22
2264	1832	3
117	8913	3
101	9734	36
12	2350	11
104	588	12
3902	1554	36
22214	7601	15
109	5289	9
14	592	8
382	7733	16
118	4772	18
1388	8502	1
124	1182	14
12	395	16
511	6930	17
28655	2768	1
115	4479	10
14	1951	25
251	1217	28
128	7519	3
105	9726	15
121	9955	19
7	6810	2
113	8753	34
108	5448	3
1564	5068	7
126	1551	26
4673	7205	9
106	8790	3
108	1871	6
1141	90	25
101	1875	13
125	3415	0
7	3410	22
133	3580	9
16765	2331	18
104	7897	39
3041	1717	19
21424	678	15
7	2205	7
2332	9038	11
14	7678	26
2	7655	7
282	7406	7
14955	9788	12
2516	2812	4
8	8251	14
189	8816	0
33183	9086	25
141	3076	17
287	5021	44
1816	6137	39
101	2001	27
101	5008	17
854	1278	16
107	4587	7
5868	4930	11
108	5004	26
185	4903	6
117	4464	3
26736	4508	21
12	4878	3
12074	9886	15
15968	825	12
14	2365	6
146	3363	1
11506	4610	15
175	7259	6
118	5073	4
512	2511	10
9015	6440	7
967	7676	4
125	9770	0
109	1232	18
109	7480	15
9575	1830	7
105	3338	17
107	2685	4
15	4400	19
197	4831	0
129	2507	30
15060	653	27
12	6548	13
4890	9318	19
594	3311	8
122	5073	11
107	3888	3
1851	7947	14
12	7194	23
7	9058	17
7	645	31
855	7380	26
367	4891	21
2245	4669	27
551	1362	8
2263	8244	2
116	1420	9
18762	4262	7
30968	1971	1
7	5795	11
12	2108	3
10273	2987	44
14	2852	6
105	4363	8
101	5127	11
146	1314	25
1452	992	18
28032	1992	18
184	727	0
29022	2899	29
2323	7860	6
102	4330	13
18718	4258	6
2986	9413	29
3119	2260	22
5053	6152	24
112	423	4
778	6762	6
299	3169	7
7	2168	15
226	9598	8
106	6453	6
12	4904	22
102	1749	25
14	5436	31
108	7746	19
387	3508	1
1561	2518	30
6676	4429	5
262	1972	23
469	7876	17
2	7426	15
16	1926	7
13224	4595	31
1639	6585	18
3114	6283	20
12	1962	1
492	2913	7
5135	8953	17
848	2807	5
121	6917	4
1026	4534	3
124	2384	7
132	4460	4
8882	6442	7
136	868	7
112	6458	15
176	6584	3
8723	7950	11
102	8694	14
133	4661	5
7	789	1
5805	6488	6
3291	8079	6
102	1309	12
13	2699	5
1920	3916	10
106	7986	2
116	5430	15
825	8106	4
701	8797	15
313	3143	17
14	2347	34
115	1434	3
26365	4845	40
101	3623	3
4609	8541	8
263	8269	30
14	2284	19
124	8812	12
101	6030	21
104	8691	9
981	4701	7
232	6870	15
7	8271	12
14	7215	15
120	693	17
14	5193	9
236	5632	0
408	451	28
105	6758	6
18131	5612	21
4318	5381	18
101	3812	30
446	8567	3
2	4574	14
105	4279	18
4517	5021	12
2	5863	6
115	8697	6
7	1555	28
10288	3983	11
12	2497	18
112	3441	20
14	453	35
1939	2003	24
104	1900	4
101	9489	25
200	9765	0
8	9744	14
12	2432	25
6418	5843	3
110	5728	6
9	3574	27
5794	8564	20
158	1489	3
14	8291	38
142	7096	9
873	2059	3
106	6155	10
138	9138	12
105	3042	12
103	9939	2
7	9086	36
192	1634	30
14	6674	43
1724	9717	18
3603	1251	14
31564	9194	17
14	7205	30
149	106	9
103	698	22
5	7474	18
101	8162	2
13983	9055	0
29948	9464	26
347	3128	22
14	2215	9
1284	2765	1
5553	4347	25
2428	6827	6
125	623	16
12	3386	30
10181	2622	17
12	8564	7
107	5750	12
559	7753	4
102	5486	6
6471	2657	4
28390	4969	22
25	7637	17
1044	7408	10
136	9905	9
111	1342	32
13	8756	1
101	5326	7
16	7194	21
428	9226	7
14	3618	27
110	1624	22
108	1372	23
115	1821	32
254	5493	6
12	1502	14
113	2514	1
122	627	20
1222	8297	0
103	4348	24
112	2312	14
2523	9140	46
284	8581	16
2067	2689	18
369	8706	14
119	2767	3
20845	8840	6
