148	540	4	25.45
143	206	13	77.83
4400	101	3	11.73
1624	16	3	18.91
118	278	10	41.24
105	668	3	5.5
102	1681	5	20.72
7	114	405	719.11
149	841	3	20.35
970	110	4	14.53
120	2124	5	37.75
147	452	3	15.68
102	5656	3	18.15
8	261	4	8.95
527	224	3	23.69
350	120	5	16.84
1504	7	15	94.84
637	201	5	44.77
101	3447	3	10.24
1058	109	4	14.91
257	115	7	18.75
108	892	8	37.9
125	290	10	50.67
117	401	5	16.73
1664	102	3	9.03
156	109	22	45.78
963	12	4	4.93
463	620	3	30.26
102	1063	9	39.7
127	3152	5	48.98
108	4283	3	19.11
3650	101	3	10.24
126	880	3	15.63
186	378	22	239.61
111	423	11	47.09
7	1380	6	17.63
145	1085	3	21.21
7	1552	8	31.98
2643	101	6	27.74
1287	108	4	15.7
7	1500	6	18.52
111	542	6	21.55
412	14	8	9.13
1403	14	3	4.79
101	2059	5	15.87
12	2126	4	11.45
112	947	5	22.21
322	585	3	27.56
775	123	4	20.9
138	1437	4	30
441	112	7	24.13
113	813	6	27.61
1024	117	4	19.3
208	12	14	6.47
8	1332	6	39.75
150	750	6	47.92
107	474	10	37.57
7	5964	3	18.97
885	2528	3	43.67
109	594	4	10.22
1441	119	6	40.37
391	119	3	7.66
323	107	22	101.24
3387	12	3	10.22
104	227	6	5.14
1546	105	3	10.42
1050	12	6	12.83
1487	101	5	12.33
566	101	7	8.75
108	3332	4	24.91
2133	103	6	35.25
109	2603	3	15.74
707	101	8	15.07
111	1489	5	26.91
135	1408	5	39.21
9	14	371	877.2
158	113	25	72.61
491	110	5	13.52
379	450	3	26.86
109	300	15	55.87
1666	291	3	33.7
119	277	3	5.61
111	1899	5	29.65
129	3276	3	25.01
629	12	6	6.99
824	255	3	27.95
101	271	25	52.26
114	4504	3	21.97
101	126	60	10.25
726	109	5	16.94
347	107	9	26.08
389	109	7	19.48
111	724	4	13.36
113	230	4	4.45
263	102	23	71.57
455	1978	5	69.68
112	593	3	7.27
3008	101	3	9.1
104	1887	6	32.44
1031	101	5	8.96
7	3486	5	26.29
175	149	33	252.91
124	136	60	275.55
130	380	5	23.89
5658	101	3	13.87
3103	112	3	18.07
1018	14	4	6.17
107	791	7	29.03
881	101	4	4.42
104	1812	4	17.57
109	1311	6	30.6
114	1634	3	14.3
12	106	216	14.13
140	553	6	38.59
900	14	5	8.55
120	333	7	27.8
111	976	3	10.08
113	350	4	8.21
187	119	62	417.24
1466	12	11	49.9
101	1138	7	18
263	546	5	47.79
529	107	9	34.35
112	6265	3	27.55
282	1689	3	33.41
105	1433	3	9.59
107	3285	4	24.77
111	1816	3	14.17
113	1165	5	24.87
39	229	6	33.14
102	7255	3	22.6
105	102	192	96.58
381	12	19	44.67
153	592	3	18.42
104	868	4	11.31
5	112	20	34.4
141	1598	3	21.94
279	466	4	35.63
4955	675	3	48.87
103	131	22	6.5
103	194	13	19.46
343	110	4	6.55
369	727	4	42.17
236	167	3	14.26
108	1354	8	45.52
101	2891	3	8.17
108	1278	6	29
103	327	9	21.29
188	106	14	25.58
2153	101	9	48.41
118	6960	3	30.7
1283	101	4	6.65
102	1220	7	29.2
294	101	16	22.94
1922	14	3	6.92
475	1063	3	33.81
102	1264	7	29.2
127	246	5	17.69
108	1229	3	9.98
109	509	5	13.29
308	126	3	9.07
1365	12	5	11.61
103	179	12	14.79
107	2045	3	13.02
5033	12	3	13.84
253	120	4	8.69
839	12	9	22.86
7	2422	9	56.9
303	111	5	10.16
12	148	79	130.26
102	2689	5	27.23
854	122	3	13.17
115	1497	4	21.48
104	1859	3	11.24
120	4951	4	41.24
107	638	4	10.23
12	5192	3	13.84
1042	112	4	16.63
1891	14	3	6.4
3060	101	3	9.1
199	1894	5	56.94
4049	113	3	21.21
171	157	15	95.8
101	1378	5	11.65
112	425	4	9.24
108	3034	5	34.66
109	3772	6	52.4
193	167	4	18.23
2009	14	3	6.92
104	3187	3	15.01
138	1916	5	43.66
144	1521	3	22.93
7	1802	12	75.87
154	510	3	17.58
297	135	8	42.85
112	2653	3	17.07
1534	12	4	8.55
166	3133	3	31.87
117	660	3	10.07
12	456	8	8.8
115	1122	8	50.7
124	175	12	43.83
107	942	8	38.4
887	119	10	68.93
201	132	15	77.87
115	1242	10	72.19
116	454	3	7.65
7	3653	3	10.91
116	403	5	16.32
133	219	5	16.95
114	625	12	69.29
127	456	5	25.12
103	481	4	6.39
1503	12	4	8.01
1564	117	4	23.3
1617	12	3	4.77
7	2304	4	12.35
107	1866	4	19.19
170	132	10	36.79
104	781	10	45.57
1145	101	5	9.42
445	103	6	12.99
375	116	7	26.55
1397	134	7	60.27
101	282	20	34.96
112	1236	4	17.95
7	954	10	32.86
1066	101	4	5.57
115	2663	4	27.68
7	878	11	36.46
1158	14	3	3.91
7	1089	6	14.71
541	309	3	26.84
645	101	7	10.33
1983	103	9	62.5
2503	14	3	8.18
5109	101	3	13.87
866	103	6	21.68
7	2737	4	14.54
128	161	14	54.25
1553	101	6	18.2
147	155	5	14.77
7	449	47	269.63
